Conteúdo,Título do vídeo,Horário de publicação do vídeo,"Marcações ""Gostei""",Inscrições obtidas,Porcentagem visualizada média (%),Duração média da visualização,Visualizações,Tempo de exibição (horas),Inscritos,Impressões
a9gpZQCNy-Q,Exercício de Valor Esperado  | Curso de Probabilidade 12,"May 12, 2021",129,6,31.53,0:02:49,1429,67.2137,6,25559
jQgCMY5Y1k8,Exercícios de Distribuição de Probabilidade Conjunta | Curso de Probabilidade 19,"May 28, 2021",129,16,24.79,0:02:40,2862,127.7037,16,26584
hyvXcbDaI8Q,Intervalos e Testes da Regressão Linear | Estatística Básica 36,"Dec 7, 2021",124,31,20.18,0:05:39,2849,268.7849,31,49326
OnbmtKSIILE,Distribuição de Poisson | Curso de Probabilidade 17,"May 24, 2021",122,8,38.03,0:06:28,1131,121.9861,8,21829
am-_MDjGXZA,Exercício de Intervalo de Confiança da Variância | Estatística Básica 19,"Oct 2, 2021",116,5,29.62,0:03:02,1903,96.3044,4,43660
osHVuqevqZc,ANOVA com Repetição | Estatística Básica 33,"Dec 3, 2021",116,11,22.37,0:05:34,2158,200.3672,11,42772
voK7ghxjU6A,Distribuição Normal: Combinação Linear de Variáveis Aleatórias | Curso de Probabilidade 25,"Jun 11, 2021",116,9,22.6,0:06:34,1961,215.2936,9,21515
4t8M8mZfcxg,Exercícios de Bernoulli e Binomial | Curso de Probabilidade 15,"May 19, 2021",112,7,36.23,0:05:28,1274,116.1713,7,22756
upPTaYDEEV8,Resumo de Probabilidade 26 - Exercício Variáveis Aleatórias de Distribuição Conjunta (CASO DISCRETO),"Jun 26, 2020",107,28,26.49,0:02:14,4025,150.7462,27,31042
sn2X6g3CRpM,Teste de Hipóteses de Duas Médias | Estatística Básica 25,"Nov 30, 2021",105,8,24.73,0:07:32,1996,251.0802,7,40248
exVGPvcN6jA,Distribuição Uniforme | Curso de Probabilidade 21,"Jun 3, 2021",100,10,34.46,0:06:04,1180,119.3918,9,21875
2K_CMXEWTOY,Teste de Hipóteses da Variância | Estatística Básica 24,"Nov 29, 2021",99,3,25.52,0:04:52,2089,170.018,3,42881
zSWr84Y8eew,Distribuição Exponencial | Curso de Probabilidade 22,"Jun 4, 2021",98,17,32.56,0:05:41,1497,142.1519,17,23855
4MR6ID6yb3I,Exercício de Função Densidade de Probabilidade Conjunta | Curso de Probabilidade 29,"Jun 21, 2021",97,19,21.54,0:03:23,1298,73.4733,19,19701
5Yf_WkeCfwc,Teste de Hipóteses: Erros | Estatística Básica 23,"Oct 6, 2021",97,4,30.3,0:07:12,1761,211.3386,4,43092
Lt7yJ3QKBI0,Teste de Aderência | Estatística Básica 38,"Dec 8, 2021",94,14,22.63,0:03:29,2324,135.2961,14,41802
rWCyIPLEABQ,Exercício de Distribuição Normal | Curso de Probabilidade 24,"Jun 9, 2021",92,2,30.62,0:05:48,1041,100.6671,2,19069
1YLHUzLSqk8,Definições e Exercícios Iniciais - Resumo de Probabilidade 01,"Jun 9, 2020",90,30,12.39,0:02:24,3158,127.1224,30,11873
Im3Xscmuvg0,Resumo de Probabilidade 30 - Média e Variância de uma Variável Aleatória Contínua,"Jul 14, 2020",88,19,33.61,0:02:19,3241,125.8587,19,25549
baG3KFVt21I,Exercício de Teste de Hipóteses de Duas Médias | Estatística Básica 26,"Dec 1, 2021",81,8,21.93,0:04:31,2235,168.7997,8,42896
fGyoHfFD1_c,Resumo de Probabilidade 08 - Variáveis Aleatórias Contínuas (Funções Densidade e Acumulada),"Jun 11, 2020",79,14,32.08,0:02:51,2646,126.3254,14,30702
kJEJqBRDDCU,Resumo de Probabilidade 44 - Exercício Distribuição Conjunta de Variáveis Aleatórias Contínuas,"Jul 15, 2020",74,13,26.86,0:02:35,2723,117.6131,13,22947
BpmcBdRwNMc,Exercício de Teste de Aderência | Estatística Básica 39,"Dec 8, 2021",68,7,26.61,0:04:03,1324,89.5621,7,37909
afV7yiHWMY0,Exercício de Teste de Hipóteses de Duas Variâncias | Estatística Básica 29,"Dec 2, 2021",68,5,24.7,0:04:51,1606,130.2529,5,39413
gR3A5b_No70,Fuja do Nabo 31/05/2021 -  Parte 01,"Jun 1, 2021",66,7,11.55,0:04:06,1733,118.6917,7,7744
A3j1yKpA7WA,Resumo de Probabilidade 45 - Distribuição Marginal de Variáveis Aleatórias Contínuas,"Jul 15, 2020",65,13,34.67,0:01:43,2589,74.5611,13,16900
 -bT2iB8gqKs,Teste de Hipóteses de Médias Pareadas | Estatística Básica 27,"Dec 1, 2021",63,6,32,0:07:26,1017,126.0317,5,35633
gTwxqjQmjPU,Linha de Chegada | Estatística Básica 40,"Dec 8, 2021",63,11,19.79,0:01:22,778,17.8797,11,16975
K1bF6cRH0bE,Conclusão do Curso | Curso de Probabilidade 30,"Jun 23, 2021",62,2,22.92,0:01:47,450,13.383,2,4217
GZXbgVZ8KmU,Resumo de Probabilidade 28 - Covariância e Coeficiente de Correlação,"Jun 26, 2020",61,17,28.65,0:03:32,2163,127.5332,16,20670
Rxx56JJVXmk,Resumo de Probabilidade 43 - Distribuição Conjunta de Variáveis Aleatórias Contínuas,"Jul 15, 2020",60,14,29.71,0:02:15,2182,82.1188,14,19264
EEFxcuaxQ_Q,Exercícios de Intervalos e Testes da Regressão Linear | Estatística Básica 37,"Dec 7, 2021",58,11,24.29,0:02:39,1707,75.6731,11,36557
5a7vNjIpvJw,Função de Distribuição Acumulada - Resumo de Probabilidade 06,"Jun 11, 2020",57,16,27.48,0:02:28,2477,101.9256,14,23898
5eVwbFfvm80,Aulão de Estatística THM e POLI USP -  Fuja do Nabo (Parte 1),"Sep 7, 2023",54,27,14.86,0:06:38,1048,115.9989,23,11205
80IQwvd98ls,Resumo de Probabilidade 29 - Exercício Covariância e Coeficiente de Correlação,"Jun 26, 2020",52,6,25.4,0:03:16,1944,106.1579,6,16805
m-4FuCzO29g,Resumo de Probabilidade 46 - Exercício de Distribuição Marginal de Variáveis Aleatórias Contínuas,"Jul 15, 2020",52,8,33.64,0:02:00,1894,63.1895,8,12785
V32pAYBKOPM,Resumo de Probabilidade 25 - Variáveis Aleatórias de Distribuição Conjunta (caso discreto),"Jun 26, 2020",48,6,31.62,0:02:15,2144,80.6101,6,18416
axnLOekWcSw,O que é a ANOVA? #shorts,"Feb 16, 2023",48,6,69.51,0:00:38,650,6.9028,6,22343
EuUlvl-6iwI,Variáveis Aleatórias e Função de Probabilidade - Resumo de Probabilidade 05,"Jun 11, 2020",47,6,36.82,0:04:50,1099,88.5822,6,14982
IWUhX5FYIog,Resumo de Probabilidade 09 - Exercício Função Densidade de Probabilidade,"Jun 11, 2020",47,10,30.28,0:02:28,2148,88.3358,10,20895
 -UpcyoaJDJE,"Probabilidade Condicional, Independência e Álgebra de Eventos - Resumo de Probabilidade 03","Jun 9, 2020",44,4,30.58,0:07:54,1154,152.0034,4,14236
4KfqBs51kD8,"Aula 1 - Supere o Excel - ""Jornada THM de Análise de Dados e Estatística no R""","Jan 17, 2023",44,31,9.43,0:03:33,337,19.9738,31,1578
Ww2zsRTkzt4,Aulão de Probabilidade Parte 1: Fuja do Nabo 18/05/2024,"May 18, 2024",44,11,20.92,0:08:38,398,57.3642,11,6761
MQrcxHldZ_0,Resumo de Probabilidade 48 - Função Densidade de Probabilidade Condicional,"Jul 15, 2020",41,10,34.16,0:01:39,1200,33.0034,10,6946
hghyKv2eFyA,Resumo de Probabilidade 07 - Exercícios envolvendo Função de Probabilidade e Função de Distribuição,"Jun 11, 2020",41,9,23.27,0:03:35,1720,102.8233,9,17514
jcUUry15G20,Fuja do Nabo 13/07/2021 -  Parte 01,"Jul 13, 2021",41,4,21.12,0:06:35,892,97.8462,4,7780
mPhlq0bMYe4,Aulão de Probabilidade Parte 1:  Fuja do Nabo 15/06/2024,"Jun 15, 2024",41,5,21.62,0:07:23,443,54.522,5,5385
b9kPPH0XUbE,Fuja do Nabo 29/09/2021 - Parte 01,"Sep 29, 2021",40,8,18.75,0:05:06,676,57.4669,8,4160
vwHUfePZTRI,O experimento de estatística mais conhecido do mundo! #Shorts,"Nov 8, 2022",39,2,46.46,0:00:25,527,3.7404,1,7852
yF1YCHgIARU,Fuja do Nabo POLI USP - Prova de Recuperação (Parte 1),"Feb 3, 2023",36,5,11.79,0:05:19,879,77.9691,5,6743
2tzcedAK8G4,Fuja do Nabo 31/05/2021 -  Parte 03,"Jun 1, 2021",35,7,26.45,0:06:43,435,48.6505,7,6544
V2-j5X6Rw7g,Resumo de Probabilidade 32 - Exercício Distribuição Uniforme,"Jul 14, 2020",35,5,37.13,0:02:02,1194,40.7592,5,10962
aB5iClJX1nM,Aulão de Probabilidade Parte1: Fuja do Nabo 01/07/2023,"Jul 1, 2023",35,2,17.12,0:05:51,631,61.6657,2,8512
edpj6gbJL-A,Aulão de Probabilidade Parte 3: Fuja do Nabo 18/05/2024,"May 18, 2024",34,1,17.95,0:08:15,284,39.108,1,4338
M78punOYdCA,INSTALE O R E RSTUDIO EM 2023!,"May 24, 2023",33,14,37,0:02:00,703,23.5575,14,8853
VkPUyrrjKZ0,Resumo de Probabilidade 47 - Exercício Distribuição Marginal e Independência de Variáveis Contínuas,"Jul 15, 2020",33,7,24.26,0:02:06,1202,42.3674,7,9774
 -XVQuVmlJyI,Estatística Aplicada com R - Aula 0,"Dec 15, 2022",32,18,18.8,0:06:34,370,40.4991,17,8289
AsU9t6zzaJE,Resumo de Probabilidade 11 - Média/Esperança de uma Variável Aleatória Discreta,"Jun 24, 2020",32,5,36.16,0:03:04,907,46.4365,5,10514
KfpL6JSH5yg,Resumo de Probabilidade 10 - Exercício Função de Distribuição Acumulada (caso contínuo),"Jun 11, 2020",32,1,32.34,0:01:59,1582,52.4478,1,15922
ZKzrGV0i878,Fuja do Nabo 13/07/2021 - Parte 02,"Jul 13, 2021",32,0,27.01,0:11:19,534,100.5469,0,7465
FAc5z5Wt_X4,Exercício Inicial - Resumo de Probabilidade 02,"Jun 9, 2020",31,2,34.83,0:03:15,752,40.8592,2,12654
RL8zS8ZaeOw,Resumo de Probabilidade 42 - Exercício Teorema do Limite Central,"Jul 15, 2020",31,3,26.58,0:02:07,1378,48.7957,3,11078
SEvhs6n7xvE,Aulão de Estatística THM e POLI USP - Fuja do Nabo (Parte 3),"Sep 7, 2023",31,2,16.8,0:08:10,473,64.3979,2,10843
oRJ4yIVwfHM,Exercício Função densidade de probabilidade em 1 minuto #probabilidade #cienciadedados  #estatística,"Jan 15, 2024",29,4,48.79,0:00:29,382,3.1062,4,9578
CBLHBVr579s,Aulão de Estatística Parte 1: Fuja do Nabo 06/09/2024,"Sep 7, 2024",28,0,24.27,0:10:43,261,46.6469,0,3248
_IQklPGl9dA,Fuja do Nabo 13/07/2021 - Parte 03,"Jul 13, 2021",28,0,26.17,0:04:50,401,32.3004,0,4760
