Conteúdo,Título do vídeo,Horário de publicação do vídeo,"Marcações ""Gostei""",Inscrições obtidas,Porcentagem visualizada média (%),Duração média da visualização,Visualizações,Tempo de exibição (horas),Inscritos,Impressões
zuZXlN08jDc,Resumo de Probabilidade 38 - Exercício Distribuição Normal e Probabilidade Condicional,"Jul 14, 2020",15,0,28.38,0:03:25,499,28.4401,0,7168
XxHDqPX1r0A,Como funciona um teste de hipótese?,"May 13, 2024",14,1,56.17,0:00:23,633,4.0492,1,8266
f9gm2aoC3fM,Resumo de Probabilidade 41 - Teorema do Limite Central,"Jul 15, 2020",14,1,42.28,0:02:14,604,22.4859,1,7997
gQd1k4dw93s,Resumo de Probabilidade 37 - Exercício Inicial Distribuição Normal,"Jul 14, 2020",14,1,35.57,0:05:21,512,45.7878,1,6930
iJU9kx-N5Us,Resumo de Probabilidade 40 - Exercício Distribuição de uma Combinação Linear,"Jul 15, 2020",14,0,35.78,0:04:20,536,38.8309,0,7245
valN1gRZF10,Aulão 2 de Estatística THM e POLI USP - Parte 2,"Nov 4, 2023",14,4,23.56,0:06:14,245,25.4903,4,6222
2NfsdQh67xY,Aulão de Estatística Parte 2: Fuja do Nabo 06/09/2024,"Sep 7, 2024",13,0,27.78,0:09:30,158,25.0204,0,2446
8TbLik75BrI,Distribuição Geométrica em 1 minuto (ou menos) #probabilidade #estatística #cienciadedados,"Jan 16, 2024",13,2,44.78,0:00:26,156,1.1644,2,7120
KuUbVmJWqd0,Exercício de Probabilidade - Distribuição Binomial | Teste 1 2022 POLI-USP,"Jun 5, 2024",13,0,24.16,0:01:58,85,2.8014,0,1826
QuTqklgCUXs,Aulão 2 de Estatística THM e POLI USP - Parte 4,"Nov 4, 2023",13,1,18.29,0:06:27,233,25.0507,1,7321
sIpTvvTK6uk,Exercício de Probabilidade - Distribuição de Probabilidade | Teste 2 2022 POLI-USP,"Jun 6, 2024",13,1,19.22,0:01:44,75,2.1866,1,1916
BZbPgK8_bBE,Resumo de Probabilidade 22 - Exercício Distribuição de Poisson,"Jun 26, 2020",12,0,40.98,0:03:30,510,29.7796,0,8318
