"Identificação da publicação","Identificação da conta","Nome de utilizador da conta","Nome da conta",Descrição,"Duração (segundos)","Hora de publicação","Ligação permanente","Tipo de publicação","Comentário sobre os dados",Data,Alcance,Gostos,Partilhas,Seguimentos,Comentários,"Itens guardados"
17922430937914206,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Tem gente que é assim até hoje... 🫣

#thmestatistica #dados #datascience #statistics #estatistica",0,"05/30/2024 08:52",https://www.instagram.com/p/C7mSvcWRyeD/,"Imagem do Instagram",,"Toda a duração",4357,242,102,2,0,25
18028022197906404,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Uma ferramenta tão simples, pode ser muito esclarecedora 🤩

#thmestatistica #dados #datascience #histogram #data",0,"05/29/2024 15:37",https://www.instagram.com/p/C7kcUOlxZjP/,"Carrossel do Instagram",,"Toda a duração",1131,63,7,1,1,24
17860553940156384,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Entende o passo a passo do desvio padrão de uma forma visual! 🤯

#thmestatistica #dados #cienciadedados #desviopadrao #estatistia #statistics",60,"05/28/2024 15:19",https://www.instagram.com/reel/C7h1XXTMzvL/,"Reel do IG",,"Toda a duração",979,52,3,2,0,27
17886284255982503,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Achismos não são ciência 🫣

#thmestatistica #dados #lean #manufatura #industria #datascience #statistics #estatistica",0,"05/27/2024 13:33",https://www.instagram.com/p/C7fEdHppm_T/,"Imagem do Instagram",,"Toda a duração",28988,1017,336,91,6,235
17943310703816038,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você sabe fazer o passo a passo até chegar no desvio padrão? Aprenda agora... E pelo R! 🤩

#thmestatistica #datascience #rcran #Rstudio #desviopadrao #DESVIO",0,"05/23/2024 13:19",https://www.instagram.com/p/C7UvrJxvLKa/,"Carrossel do Instagram",,"Toda a duração",889,68,5,1,0,32
17999836109361471,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você consegue calcular de cabeça qual seria o desvio padrão do conjunto de notas desses jurados? 🤯
RESPONDE NOS COMENTÁRIOS!

#thmestatistica #dados #estatistica #statistics #standarddeviation #desvio",0,"05/22/2024 13:12",https://www.instagram.com/p/C7SKFDGO3D4/,"Carrossel do Instagram",,"Toda a duração",1739,123,9,5,12,66
18001906880614568,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você pode errar usando dados? É claro! Mas é melhor do que usar apenas a intuição 😎

#thmestatistica #dados #datascience #babbage #lovelace #ada",0,"05/21/2024 13:07",https://www.instagram.com/p/C7PktxyCjGT/,"Carrossel do Instagram",,"Toda a duração",1537,147,10,3,2,34
18004719872572269,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A estatística tem poder até em seus conceitos mais básicos 🤩🤩

#thmestatistica #dados #datascience #data #analytics",74,"05/20/2024 13:34",https://www.instagram.com/reel/C7NC_NSv0xb/,"Reel do IG",,"Toda a duração",764,24,18,4,0,8
17959980371759319,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Quer entender esse conceito importante da estatística? 🧐
ACESSE O LINK NA BIO!

#thmestatistica #probabilidade #probability #datascience #dados",27,"05/18/2024 06:59",https://www.instagram.com/reel/C7HMNmruDef/,"Reel do IG",,"Toda a duração",8878,250,8,125,1,31
18004574966530976,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Impossível ter outra reação 🥲

#thmestatistica #naruto #datascience #estatistica #statistics #excel #RStudio",11,"05/17/2024 13:35",https://www.instagram.com/reel/C7FUvsTP1ND/,"Reel do IG",,"Toda a duração",3094,208,30,5,4,18
18023901056486399,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Onde o Javascript se encaixa? 🧐

#thmestatistica #html #css #javascript #thmcodelab",0,"05/16/2024 13:33",https://www.instagram.com/p/C7CvuPAKpAq/,"Carrossel do Instagram",,"Toda a duração",352,13,2,,0,0
18029047013086110,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Hoje não é #TBT, mas relembramos esse dia em que mostramos como a inteligência de dados pode apoiar soluções na engenharia! 🤩

Fizemos uma palestra no Instituto de Engenharia, distinta instituição da profissão, sobre as aplicações da inteligência de dados em engenharia e infraestrutura, áreas tradicionais que sempre demandam atualizações.

Foi uma honra apresentar como algumas de nossas soluções vêm ajudando mercados a melhorarem seu desempenho.

Quer assistir a palestra na íntegra? Comenta ""EU QUERO"" e te mandaremos o link!

#thmestatistica #dados #datascience #engenharia #engenhariacivil #infraestrutura",0,"05/15/2024 13:54",https://www.instagram.com/p/C7ANUkjMJ5w/,"Carrossel do Instagram",,"Toda a duração",509,43,0,1,3,0
17925143177863965,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Existe um antes e depois da invenção da regressão linear? 🧐

#thmestatistica #regression #regressao #estatistica #statistics #datascience",0,"05/14/2024 13:18",https://www.instagram.com/p/C69kaXMIQCi/,"Carrossel do Instagram",,"Toda a duração",4032,338,23,7,1,101
18103119373401238,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Como funciona um Teste de Hipóteses?
Descubra a importância de rejeitar corretamente um teste de hipótese e como isso pode ajudá-lo a melhorar sua precisão estatística. 
Aprenda a calcular as chances de estar errado e evite equívocos em suas conclusões. 🔥

Aula completa no Canal Educacional THM no Youtube!",41,"05/13/2024 13:25",https://www.instagram.com/reel/C67ANvRpnmW/,"Reel do IG",,"Toda a duração",6726,130,7,74,0,26
18023736008162563,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Quer ajuda para construir um trabalho de sucesso? Chama a gente no direct! 🤩

#thmestatistica #dados #estatistica #statistics #ciencia #pesquisa",17,"05/10/2024 13:22",https://www.instagram.com/reel/C6zRqkeLOBz/,"Reel do IG",,"Toda a duração",2434,73,11,1,1,8
18059394085514062,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A ciência de dados pode revolucionar onde você menos espera 💻🤩

#thmestatistica #dados #estatistica #statistics #data #datascience #cienciadedados",0,"05/09/2024 14:56",https://www.instagram.com/p/C6w3vOXRA-t/,"Carrossel do Instagram",,"Toda a duração",513,16,0,,1,4
17863546218087857,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você sabe em quais casos usar o teste T de Student? 🧐

#thmestatistica #dados #estatistica #statistics #testT #TStudent",0,"05/08/2024 13:33",https://www.instagram.com/p/C6uJWqKLBO9/,"Carrossel do Instagram",,"Toda a duração",1078,103,9,15,8,51
18255699688244137,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Mesmo com muita história, nos dias atuais, a estatística é mais importante do que jamais foi 🤯
Faça nosso cursos gratuito 💻

#thmestatistica #dados #datascience #statistics #estatistica",0,"05/07/2024 13:26",https://www.instagram.com/p/C6rjwpGpeV5/,"Carrossel do Instagram",,"Toda a duração",14909,969,71,187,1,221
17897031137990326,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Desenvolva a habilidade de enxergar padrões complexos 🤯

#thmestatistica #dados #statistics #estatistica #ciencia  #matematica",55,"05/06/2024 13:49",https://www.instagram.com/reel/C6pBj_Bvpn8/,"Reel do IG",,"Toda a duração",1974,86,9,4,0,18
17872482459087607,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você sabe qual teste estatístico usar para descobrir? 🧐

#thmestatistica #dados #datascience #pesquisa #ciencia #estatistica #statistics",0,"05/01/2024 13:37",https://www.instagram.com/p/C6cIQTmAUAo/,"Carrossel do Instagram",,"Toda a duração",738,29,1,,1,18
17843456151216078,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Estude e seja alguém acima da média 🤩😎

#thmestatistica #feynman #mean #media #educação #estudos",0,"04/30/2024 13:50",https://www.instagram.com/p/C6Zk73uMkWp/,"Imagem do Instagram",,"Toda a duração",3471,138,6,,1,22
18339166501113674,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A beleza da curva normal 🥰

#thmestatistica #dados #normalcurve #statistics #math",28,"04/29/2024 13:25",https://www.instagram.com/reel/C6W9UNJJmAs/,"Reel do IG",,"Toda a duração",292966,8993,2514,750,141,1342
18102013915367105,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Haja paciência 🤣🤣🤣

#thmestatistica #dados #datascience #estatistica #cienciadedados",8,"04/26/2024 12:42",https://www.instagram.com/reel/C6PJ_kRrF2R/,"Reel do IG",,"Toda a duração",2521,108,18,2,0,9
18006530207400179,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Entenda este conceito chave no CSS! 🧐💻

#thmestatistica #css #html #programming",0,"04/25/2024 13:21",https://www.instagram.com/p/C6MppckRhtP/,"Carrossel do Instagram",,"Toda a duração",378,10,0,,0,3
18026748557301478,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Entenda a Lei de Benford e use-a em seus projetos! 🤩

#thmestatistica #benford #dados #benfordslaw #datascience",0,"04/25/2024 07:00",https://www.instagram.com/p/C6L-G_zhXkH/,"Carrossel do Instagram",,"Toda a duração",525,16,2,2,0,12
17884598466026589,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Olha o que os nossos alunos estão falando! 🤩
Acesse já nosso curso gratuito de Teoria de probabilidades. LINK NA BIO!

#thmestatistica #dados #datascience #probabilidade #probability #statistics #estatistica",0,"04/23/2024 13:50",https://www.instagram.com/p/C6HjYHeM0Oo/,"Carrossel do Instagram",,"Toda a duração",921,39,3,3,0,10
17974629566697965,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você conhece a Lei de Benford? 🧐
Entenda esta lei que pode te ajudar bastante na análise de dados!

#thmestatistica #dados #datascience #statistics #benford #BenfordsLaw",66,"04/22/2024 13:34",https://www.instagram.com/reel/C6E8v0_gsS4/,"Reel do IG",,"Toda a duração",1392,29,4,5,0,9
18032512129769218,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Só os fortes já sentiram essa sensação! 🤩

#thmestatistica #datascience #estatistica #Rstudio #statistics",12,"04/19/2024 14:53",https://www.instagram.com/reel/C59XayRoJT7/,"Reel do IG",,"Toda a duração",5221,156,55,,3,10
18429675958022869,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você o que é o display no CSS? 💻

#css #thmestatistica #html #programming #programação",0,"04/18/2024 13:27",https://www.instagram.com/p/C56oxooKlQD/,"Carrossel do Instagram",,"Toda a duração",454,20,2,,0,3
18010598963363979,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Quer saber a probabilidade de um evento acontecer a partir da quantidade de tentativas e seu aproveitamento? Use a distribuição binomial! 🤩
Já salva pra usar quando precisar...

#thmestatistica #dados #estatistica #statistics #probability #probabilidade",0,"04/17/2024 13:21",https://www.instagram.com/p/C54DSWhrdB4/,"Carrossel do Instagram",,"Toda a duração",1100,70,11,5,5,35
17962889306726647,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Sam Altman, criador do ChatGPT e CEO da OpenAI, defendeu essa visão otimista no fórum econômico mundial, em janeiro de 2024. Você concorda? 🧐

#thmestatistica #dados #datascience #data #estatistica #statistics",0,"04/16/2024 13:26",https://www.instagram.com/p/C51fDsUp4xi/,"Imagem do Instagram",,"Toda a duração",5427,133,3,1,4,13
18048233188651233,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Estaremos amanhã no Instituto de Engenharia em um bate papo muito legal sobre o uso de Data Science em soluções de Engenharia!

Vamos conversar sobre as diversas técnicas e ferramentas envolvidas, como uso da estatística, machine learning, deep learning, inteligência artificial, e seus diferentes campos de aplicação. Traremos exemplos de aplicações envolvidas em diferentes áreas da Engenharia!

Evento Híbrido | Presencial: Instituto de Engenharia - Av. Dr. Dante Pazzanese, 120 - Vila Mariana - SP / On-line: Zoom

DATA SCIENCE NA ENGENHARIA E INFRAESTRUTURA: REVOLUCIONANDO O MERCADO COM A INTELIGÊNCIA DE DADOS.

Faça sua inscrição gratuita no link dos nossos stories! Ou no #linknabio do @institutodeengenharia 

#datascience #engenharia #analisededados #cienciadedados #estaticanaengenharia #estatistica",0,"04/16/2024 12:25",https://www.instagram.com/p/C51YJKFuSs7/,"Imagem do Instagram",,"Toda a duração",585,19,1,,0,1
18002551103278910,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Parte da beleza da matemática está em alguns padrões visuais ocultos que nos ajudam a entendê-la 🤩

#triangle #thmestatistica #dados #estatistica #pascal #binomial",44,"04/15/2024 13:45",https://www.instagram.com/reel/C5y8fwKLZDt/,"Reel do IG",,"Toda a duração",12157,827,60,152,4,128
17935576478728371,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Desenvolvimento de interfaces nunca foi tão intuitivo! Com o Figma, podemos criar designs incríveis de forma colaborativa e em tempo real. 💻✨ 

#Figma #Design #UIUX #Colaboração #Inovação #thmestatistica",0,"04/11/2024 13:46",https://www.instagram.com/p/C5opYVDtaxZ/,"Carrossel do Instagram",,"Toda a duração",468,17,2,,0,5
17972662529563352,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","👨‍🏫 Esta semana o GRUPO THM foi convidado para palestrar na disciplina “Profissão do Estatístico”, uma cadeira do 1º semestre do curso de Estatística na UFRGS.

A proposta da disciplina é apresentar aos calouros as possibilidades de carreira e atuação do profissional da Estatística, através de palestras semanais com convidados da área de estatística e ciência de dados. 

Neste dia 9 de abril foi a vez do GRUPO THM se apresentar para os alunos, em uma conversa muito animada. Falamos de consultoria ambiental, engenharia, análise e ciência de dados, probabilidade, inferência, inteligência artificial, e muito mais que fazemos no nosso dia a dia aqui na THM. 

Foi uma manhã muito proveitosa! 
Valeeeu pessoal! 🧡

#cienciadedados #analisededados #estatística #inteligenciaartificial #datascience",0,"04/11/2024 13:03",https://www.instagram.com/p/C5okfZ0PYKM/,"Carrossel do Instagram",,"Toda a duração",563,29,2,,2,3
18044610022664446,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Os empregos em dados continuam em alta 🤯
No entanto, o nível de cobrança aumentou. As empresas estão interessados em quem realmente sabe estatística.
Saiba o melhor caminho para chegar lá.

#thmestatistica #dados #datascience #statistics #estatistica",0,"04/10/2024 13:38",https://www.instagram.com/p/C5mDqzdB_in/,"Carrossel do Instagram",,"Toda a duração",679,17,1,,0,2
17855352198153609,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Precisa fortalecer sua base em estatística? 🫢
Aproveite este CURSO GRATUITO! 🤩

#thmestatistica #dados #datascience #estatistica #probabilidade",0,"04/09/2024 13:33",https://www.instagram.com/p/C5jeTT-vAlu/,"Carrossel do Instagram",,"Toda a duração",596,19,0,1,0,4
17976648635683400,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","O futuro será a base! 🤯
Quem se engajar em aprender o rigor da estatística, conseguirá passar facilmente pela barreira da programação.
 #thmestatistica #datascience #dados #cienciadedados #estatistica",65,"04/08/2024 13:34",https://www.instagram.com/reel/C5g5m20tGcP/,"Reel do IG",,"Toda a duração",1028,35,11,2,0,4
18002286305271732,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Agora só falta substituir na fórmula! 📝
Calcule o N amostral que você precisa a partir dessa fórmula.

#EstatísticaRápida #thmestatistica #Dados #datascience #estatística #statistics",0,"04/05/2024 13:29",https://www.instagram.com/p/C5ZKqvqPh3K/,"Carrossel do Instagram",,"Toda a duração",16703,502,28,141,35,361
18041133580750809,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Eu preciso saber CSS? 🧐
Entenda agora os benefícios de aprender a usá-lo!

#thmestatistica #dados #CSS #HTML #datascience",0,"04/04/2024 13:33",https://www.instagram.com/p/C5WmVl1C8I5/,"Carrossel do Instagram",,"Toda a duração",564,23,2,,0,4
